toi,tid,tfopwg_disp,pl_tranmid,pl_tranmiderrtot,pl_orbper,pl_orbpererrtot,pl_trandurh,pl_trandurherrtot,pl_trandep,pl_trandeperrtot,pl_rade,pl_radeerrtot,pl_insol,pl_insolerrtot,pl_eqt,pl_eqterrtot,st_tmag,st_tmagerrtot,st_dist,st_disterrtot,st_teff,st_tefferrtot,st_logg,st_loggerrtot,st_rad,st_raderrtot
1024.01,141482386,FP,2458339.723,0.01184,18.0157,0.0003,2.524,0.806,610,3.32634,21.644,0,7.64364,0,463,0,10.0814,0.012,692.266,24.226,4709,244,,0,7.61,0
1025.01,297967252,PC,2458545.15,0.000184,9.6837921,0.0000018,2.4006056,0.0173972,4238.239901,31.676222,,0,3176.310692,0,1914.698926,0,5.5324,0.012,129.838,3.426,8598.7,2491.4,,0,,0
1026.01,388624270,FP,2460720.808,0.00726,14.2628757,0.000077,6.9350494,0.932632,913.2067174,74.5545492,2.4765813,0.3021624,153.2069421,0,980.3628831,0,9.9138,0.012,105.677,0.515,5690,258,4.58,0.16,0.853898,0.082779
1027.01,20318757,PC,2460037.869,0.002812,3.2834565,0.0000092,1.537,1.418,1558,370.84,2.87648,0.628354,161.092,0,992,0,10.2103,0.012,56.3449,0.2649,4272,245.4,4.6,0.22,0.68,0.12
1027.02,20318757,PC,2460032.533,0.005826,11.02875,0.0000708,2.715,0.808,1694,208.864,2.76586,0.537854,15.0463,0,548,0,10.2103,0.012,56.3449,0.2649,4272,245.4,4.6,0.22,0.68,0.12
1027.03,20318757,PC,2460032.573,0.005134,5.0113292,0.000024,1.024,0.942,1210,364.07,2.52314,0.605596,17.1793,0,567,0,10.2103,0.012,56.3449,0.2649,4272,245.4,4.6,0.22,0.68,0.12
1028.01,447283466,FP,2458544.481,0.00824,1.01606,0.00068,2.843,0.556,240,0.751418,1.20704,0.1979796,2784.04,0,2023,0,7.9059,0.012,23.7748,0.0405,4634,241.8,4.64,0.18,0.68,0.1
1029.01,374908020,FP,2458365.893,0.00192,36.22214,0.00092,5.107,0.376,7170,456.346,,0,,0,,0,6.841,0,,0,,0,,0,,0
103.01,336732616,KP,2458327.253,0.001172,3.547854,0.000298,3.494333,0.09841,10424.3718,246.718628,14.581841,0.39287,1212.004376,0,1504.858953,0,11.5232,0.016,411.211,15.504,6351,0,4.22896,0,1.4,0
1030.01,464296022,FP,2460054.784,0.001256,12.1246519,0.0000206,4.612,1.334,7279,12969.9,17.6729,5.19376,207.32,0,1057,0,9.5706,0.012,78.41273,5.67984,4807.6,120,4.17,0.72,1.07,0.06
